timestamp;temperatura;umidade;pressao;qualidade;luminosidade
2024-03-02T14:24:54-04:00;32,4;68,76;1004,67;6,8;0
2024-03-02T14:25:24-04:00;32,46;68,15;1004,67;0,37;0
2024-03-02T14:25:54-04:00;32,54;67,67;1004,65;0,59;0
2024-03-02T14:26:24-04:00;32,64;67,22;1004,64;0,87;0
2024-03-02T14:26:54-04:00;32,74;66,95;1004,63;1,08;0
2024-03-02T14:27:24-04:00;32,83;66,69;1004,62;1,29;0
2024-03-02T14:27:54-04:00;32,92;66,51;1004,6;1,54;0
2024-03-02T14:28:24-04:00;33;66,28;1004,58;1,77;0
2024-03-02T14:28:54-04:00;33,08;66,29;1004,54;1,97;100
2024-03-02T14:29:24-04:00;33,14;65,07;1004,5;2,19;100
2024-03-02T14:29:54-04:00;33,18;64,94;1004,47;2,42;100
2024-03-02T14:30:24-04:00;33,19;65,03;1004,43;2,65;100
2024-03-02T14:30:54-04:00;33,19;65,06;1004,42;3,08;100
2024-03-02T14:31:24-04:00;33,2;64,89;1004,4;3,34;100
2024-03-02T14:31:54-04:00;33,2;64,82;1004,38;3,63;100
2024-03-02T14:32:24-04:00;33,19;65,03;1004,37;3,95;100
2024-03-02T14:32:54-04:00;33,15;65,17;1004,35;4,3;100
2024-03-02T14:33:24-04:00;33,08;65,45;1004,34;4,7;100
2024-03-02T14:33:54-04:00;33,02;65,67;1004,32;5,14;100
2024-03-02T14:34:24-04:00;32,99;65,81;1004,32;5,58;100
2024-03-02T14:34:54-04:00;32,93;66,08;1004,31;6,32;100
2024-03-02T14:35:24-04:00;32,89;66,15;1004,3;6,98;100
2024-03-02T14:35:54-04:00;32,88;66,1;1004,29;7,6;100
2024-03-02T14:36:24-04:00;32,89;66,03;1004,28;8,17;100
2024-03-02T14:36:54-04:00;32,92;65,81;1004,27;8,8;100
2024-03-02T14:37:24-04:00;32,95;65,69;1004,26;9,41;100
2024-03-02T14:37:54-04:00;32,96;65,46;1004,25;9,96;100
2024-03-02T14:38:24-04:00;32,95;65,62;1004,24;10,58;100
2024-03-02T14:38:54-04:00;32,92;65,59;1004,25;11,13;100
2024-03-02T14:39:24-04:00;32,92;65,55;1004,24;12,16;100
2024-03-02T14:39:54-04:00;32,92;65,48;1004,24;12,7;100
2024-03-02T14:40:24-04:00;32,94;65,39;1004,22;13,18;100
